ClusterSize, Major1, Major2, Hash, CurriculumSize, Courses
52, HST, FAM, 1525074907, 14, [HST1015F$ HST4010F$ HST2041F$ HST3041F$ HST2041F$ HST2034L$ HST2037S$ FAM2004F$ FAM4011F$ FAM3017S$ FAM4000W$ FAM1000CE$ FAM4037F$ FAM1001P]
235, ACC, SWK, 1323207494, 11, [ACC3004H$ ACC11202CE$ ACC2111N$ ACC2012N$ ACC4037W$ SWK4002S$ SWK4026S$ SWK4034F$ SWK4007S$ SWK2001F$ SWK4012S]
274, ECO, ACC, 1977787973, 12, [ECO3022S$ ECO3024F$ ECO4119S$ ACC4020W$ ACC2012N$ ACC20131CE$ ACC1006F$ ACC4023W$ ACC2111N$ ACC1106F$ ACC4025H$ ACC4000H]
213, MDN, PED, 792288493, 12, [MDN4015W$ MDN3003W$ MDN3003W$ MDN1000CE$ MDN2001S$ MDN3003W$ PED4021F$ PED4030S$ PED4026W$ PED4003F$ PED4030F$ PED4005S]
104, MUZ, POL, 21068295, 14, [MUZ1326F$ MUZ2366H$ MUZ1209H$ MUZ3306H$ MUZ1201F$ MUZ1252H$ POL4049S$ POL1004P$ POL4044F$ POL2042S$ POL3037F$ POL1005P$ POL4044F$ POL3038S]
185, CEM, HSE, 153205595, 12, [CEM1011F$ CEM4000W$ CEM3005W$ CEM3005WEWA$ CEM3005W$ CEM1011F$ HSE1009F$ HSE4003S$ HSE1011F$ HSE1011F$ HSE4002S$ HSE1011F]
132, CHE, RAY, 721966901, 8, [CHE4045Z$ CHE4042SEWA$ CHE2005W$ CHE3070S$ RAY4006W$ RAY4015W$ RAY4018W$ RAY4019W]
152, DRM, ELL, 559881894, 14, [DRM2042F$ DRM1018H$ DRM4023W$ DRM3018S$ DRM3040W$ DRM4040S$ ELL1016S$ ELL4001H$ ELL4063H$ ELL1009F$ ELL2010S$ ELL1016S$ ELL1009F$ ELL4070S]
192, ELL, DRM, 440739966, 12, [ELL3005F$ ELL2014F$ ELL2016F$ ELL2015S$ ELL4001H$ DRM4000H$ DRM3040W$ DRM4022W$ DRM1018H$ DRM2011S$ DRM4023W$ DRM4017F]
168, EBE, CHE, 1521343643, 15, [CPD1034CE$ CPD1127CE$ CPD1090CE$ CPD1149CE$ CPD10039CE$ CPD1157CE$ CPD1144CE$ CHE4049F$ CHE4042SEWA$ CHE2000X$ CHE4042SEWA$ CHE4029Z$ CHE4036Z$ CHE3005W$ CHE3068S]
260, FTX, EDN, 270874026, 14, [FTX2000S$ FTX2020F$ FTX4051H$ FTX2024F$ FTX20131CE$ FTX4051H$ FTX3045S$ EDN20021CE$ EDN3220W$ EDN3219W$ EDN3220W$ EDN3208W$ EDN3227W$ EDN2510W]
55, FIN, SWK, 761188038, 10, [FIN3026F$ FIN4060S$ FIN4059F$ FIN3029S$ FIN3027S$ SWK1013F$ SWK2075S$ SWK3001F$ SWK3066S$ SWK2060F]
317, ACC, PSY, 1082218863, 7, [ACC4002H$ ACC4023W$ ACC3501W$ ACC2018S$ PSY1007S$ PSY2003S$ PSY1006F]
142, HSE, PHI, 939174093, 14, [HSE4000F$ HSE2001S$ HSE1010S$ HSE1002F$ HSE1003S$ HSE1006F$ PHI2041S$ PHI4021F$ PHI4000W$ PHI3024S$ PHI4023F$ PHI2043FEWA$ PHI2043F$ PHI4023F]
250, EDN, EGS, 745921902, 10, [EDN3219W$ EDN3200W$ EDN2013CE$ EGS4039S$ EGS1005F$ EGS4047S$ EGS4051F$ EGS4044S$ EGS4039S$ EGS1005F]
259, ACC, EGS, 2004132483, 11, [ACC11202CE$ ACC3022H$ ACC2023S$ ACC3022N$ ACC1006N$ ACC2023F$ ACC1006N$ EGS4051F$ EGS4011F$ EGS3023F$ EGS3022S]
266, AST, GEO, 1883239895, 10, [AST3003S$ AST2003H$ AST4009W$ AST4010W$ GEO4004W$ GEO3005F$ GEO4003W$ GEO2005X$ GEO4004W$ GEO1009F]
262, FIN, REL, 1376519982, 16, [FIN2012W$ FIN3028F$ FIN4050W$ FIN1008W$ FIN4015W$ FIN4056F$ FIN4012W$ REL2053S$ REL2040F$ REL4048S$ REL2040F$ REL4010F$ REL1015F$ REL4048S$ REL4010F$ REL4010F]
278, MAM, SOC, 845216685, 15, [MAM2085F$ MAM1110F$ MAM1020S$ MAM1014F$ MAM1021F$ MAM4000W$ MAM1012F$ SOC2019S$ SOC2015S$ SOC2032F$ SOC4003S$ SOC3007FEWA$ SOC3027F$ SOC4000H$ SOC4003S]
206, EEE, HST, 1123905035, 11, [EEE4006F$ EEE3061W$ EEE3057S$ EEE4099F$ EEE4103F$ EEE4006F$ EEE4109Z$ EEE2031S$ HST2037S$ HST3005F$ HST2028F]
216, AXL, SWK, 1213729202, 14, [AXL1400F$ AXL3301S$ AXL1302S$ AXL1401S$ AXL4206S$ AXL4313S$ AXL4206S$ AXL2103S$ AXL4313S$ SWK4015F$ SWK1004S$ SWK2075S$ SWK4003F$ SWK4034F]
53, ECO, ECO, 1319726441, 12, [ECO20143CE$ ECO4109S$ ECO2007S$ ECO4032S$ ECO20142CE$ ECO4109S$ ECO3024F$ ECO3023S$ ECO3022S$ ECO1010F$ ECO4053S$ ECO2008S]
167, CON, FIN, 733916012, 13, [CON4042H$ CON1010S$ CON2013X$ CON3034F$ CON4049S$ FIN2012W$ FIN2027F$ FIN1006F$ FIN1009S$ FIN4050W$ FIN2025W$ FIN1009S$ FIN3024W]
312, EGS, AXL, 1515438821, 13, [EGS4054W$ EGS3021F$ EGS4039S$ EGS3023F$ EGS3022S$ EGS4052W$ EGS4045F$ AXL2103S$ AXL1301S$ AXL4300W$ AXL2301S$ AXL4103S$ AXL2103S]
130, GSB, AXL, 700420122, 15, [GSB4407F$ GSB4505F$ GSB4605F$ GSB4488S$ GSB1416CE$ GSB4496S$ AXL1100S$ AXL4103S$ AXL4201F$ AXL4106F$ AXL3101S$ AXL3402SEWA$ AXL2400Z$ AXL4405S$ AXL4103S]
71, BUS, ACC, 882014600, 10, [BUS1413CE$ BUS4103F$ BUS3038R$ BUS4028F$ BUS20132CE$ BUS4053H$ ACC20144CE$ ACC3022H$ ACC2018S$ ACC3023S]
55, ELL, FAM, 383251713, 8, [ELL4001H$ ELL2015S$ ELL2017S$ FAM4006S$ FAM2014S$ FAM20003CE$ FAM3018F$ FAM4036S]
259, EGS, PHI, 764650460, 14, [EGS1005F$ EGS4046F$ EGS4011S$ EGS3012S$ EGS4048F$ EGS4041S$ PHI2012F$ PHI4017S$ PHI3023F$ PHI3023F$ PHI2042F$ PHI4017S$ PHI4015S$ PHI2037F]
110, AXL, SLL, 548657616, 12, [AXL2401F$ AXL4400W$ AXL4402S$ AXL3300F$ AXL4312F$ AXL4203F$ AXL4206S$ SLL1095H$ SLL2132S$ SLL4055S$ SLL1048H$ SLL4088S]
122, BUS, INF, 1911906571, 16, [BUS4052H$ BUS4092H$ BUS201208CE$ BUS2010S$ BUS3043S$ BUS3002F$ BUS4018S$ INF4025S$ INF20138CE$ INF2009F$ INF20132CE$ INF3033R$ INF3033R$ INF2010S$ INF1102F$ INF3032R]
176, MEC, PHI, 116035227, 15, [MEC3045F$ MEC2023S$ MEC3044S$ MEC4104FEWA$ MEC3069S$ MEC4104FEWA$ MEC4100Z$ MEC3072F$ MEC4107S$ PHI4012S$ PHI2043FEWA$ PHI4000W$ PHI4024S$ PHI1010S$ PHI4023F]
133, ACC, PHI, 591767610, 16, [ACC4037W$ ACC4505H$ ACC4505H$ ACC4505H$ ACC3503H$ ACC1006N$ ACC20131CE$ ACC4000H$ PHI4015S$ PHI1024F$ PHI2045S$ PHI2042F$ PHI2045S$ PHI2043S$ PHI3023F$ PHI2012F]
164, APG, MUZ, 529837884, 14, [APG4003Z$ APG3011S$ APG3014X$ APG2014S$ APG4051Z$ APG3001S$ APG4043S$ APG3011SEWA$ MUZ4342H$ MUZ2375H$ MUZ3342H$ MUZ2802S$ MUZ2236H$ MUZ1351H]
227, CHE, HUB, 290952200, 11, [CHE3068S$ CHE2006S$ CHE3068S$ CHE4049F$ CHE3067S$ HUB4064W$ HUB4055W$ HUB4033F$ HUB4077W$ HUB4041W$ HUB4080W]
92, PHI, SOC, 521540668, 10, [PHI4019W$ PHI2045S$ PHI4021F$ PHI2043FEWA$ PHI4015S$ PHI1024F$ SOC1007S$ SOC4036U$ SOC4015F$ SOC2035S]
271, FTX, BUS, 1965219911, 11, [FTX4057F$ FTX2024F$ FTX3044F$ FTX2024N$ FTX1400CE$ BUS4094S$ BUS20148CE$ BUS3039F$ BUS201206CE$ BUS201204CE$ BUS201201CE]
153, SOC, AXL, 888205555, 12, [SOC4036U$ SOC4028F$ SOC1007S$ SOC1005S$ SOC4000H$ SOC3027F$ SOC1007S$ AXL2300F$ AXL2401F$ AXL3301S$ AXL3101S$ AXL2401F]
72, AHS, HUB, 869527980, 9, [AHS4125W$ AHS4129F$ AHS1045S$ AHS3108W$ HUB4057F$ HUB4033F$ HUB1020S$ HUB4043W$ HUB4086W]
140, HST, IBS, 1431219083, 13, [HST4010F$ HST4053F$ HST2039S$ HST1005F$ HST2028F$ HST1015F$ HST3039H$ HST4053F$ IBS4000W$ IBS4000W$ IBS4011W$ IBS2001S$ IBS4006W]
165, EBE, SLL, 1988034226, 11, [CPD1157CE$ CPD1150CE$ CPD1150CE$ CPD1148CE$ CPD1141CE$ CPD1059CE$ CPD10024CE$ CPD1144CE$ SLL1093H$ SLL4054S$ SLL3073F]
152, CEM, HST, 1881164785, 16, [CEM1009H$ CEM4001W$ CEM4001W$ CEM1001CE$ CEM1010H$ CEM1001CE$ CEM1009H$ CEM3005W$ HST4001H$ HST2037S$ HST1005F$ HST3042S$ HST4057F$ HST2034L$ HST4001H$ HST1011F]
61, ECO, DOM, 1702089338, 14, [ECO4111F$ ECO4106S$ ECO1110S$ ECO1011F$ ECO3025S$ ECO3020F$ ECO4117F$ ECO3021S$ ECO4013S$ DOM1007CE$ DOM1013CE$ DOM1011CE$ DOM1008CE$ DOM1010CE]
91, INF, ECO, 1503500539, 17, [INF4025S$ INF20136CE$ INF3011F$ INF20132CE$ INF3031R$ INF2007F$ INF2007F$ INF20138CE$ INF3012S$ ECO4016F$ ECO4102F$ ECO4027S$ ECO4119S$ ECO1007S$ ECO4116F$ ECO4121S$ ECO2008S]
220, HSE, DOM, 441858912, 12, [HSE4002S$ HSE1006F$ HSE1004S$ HSE1013F$ HSE1009F$ HSE1005S$ HSE2001S$ DOM1008CE$ DOM1008CE$ DOM1013CE$ DOM1014CE$ DOM1013CE]
160, ELL, DRM, 1164009236, 14, [ELL4061F$ ELL4070S$ ELL1009F$ ELL1010S$ ELL1009F$ ELL2014F$ ELL4070S$ ELL2014F$ DRM1040W$ DRM4000H$ DRM1041W$ DRM3044H$ DRM4038F$ DRM4041W]
109, AXL, SOC, 1869780361, 14, [AXL4312F$ AXL4312F$ AXL3300F$ AXL1301S$ AXL4106F$ AXL4100W$ AXL3300F$ AXL2300F$ SOC3029S$ SOC3007F$ SOC2032F$ SOC4010F$ SOC3007FEWA$ SOC2015S]
155, ACC, MAM, 1005734407, 13, [ACC4025H$ ACC4036W$ ACC1006S$ ACC20144CE$ ACC20131CE$ MAM2002S$ MAM1112S$ MAM3003S$ MAM1006H$ MAM1019H$ MAM1021F$ MAM1012F$ MAM2046W]
99, ECO, POL, 2005212673, 8, [ECO4106F$ ECO1011F$ ECO4101F$ POL1004L$ POL1005S$ POL2041S$ POL2038F$ POL1005P]
273, EEE, FAM, 1073563446, 11, [EEE2036S$ EEE4110Z$ EEE4107Z$ FAM4036S$ FAM4015S$ FAM1000S$ FAM4014S$ FAM3014S$ FAM1000CE$ FAM4011F$ FAM1010S]
233, MEC, CHE, 530589466, 12, [MEC2023S$ MEC2042F$ MEC1000X$ CHE3040SEWA$ CHE3068S$ CHE1005W$ CHE1005W$ CHE4054Z$ CHE4057F$ CHE4042F$ CHE3069S$ CHE4042F]
282, MCB, SOC, 2075366071, 7, [MCB2022S$ MCB2022S$ MCB2021F$ SOC2035S$ SOC2035S$ SOC2015S$ SOC4010F]
295, ECO, BUS, 753245444, 9, [ECO3022S$ ECO4053S$ ECO2004P$ ECO4006F$ ECO4109S$ ECO4112F$ BUS2022S$ BUS2016H$ BUS4006W]
136, STA, CEM, 1115053020, 14, [STA4006W$ STA2005S$ STA1006S$ STA3041F$ STA2005S$ STA4006W$ STA4020W$ CEM1008F$ CEM4000W$ CEM1111S$ CEM1011X$ CEM4002W$ CEM4002W$ CEM2005W]
222, POL, HST, 195525024, 14, [POL4044F$ POL4002F$ POL1010S$ POL4013S$ POL4006F$ POL4033F$ HST3041F$ HST4021H$ HST4058S$ HST2045L$ HST2034P$ HST2037S$ HST3038F$ HST3005F]
160, ELL, FAM, 1154895655, 13, [ELL4070S$ ELL4001H$ ELL2007F$ ELL4068S$ ELL1016S$ ELL3005F$ FAM4009H$ FAM1001P$ FAM3010F$ FAM2004F$ FAM4034S$ FAM3019S$ FAM4004S]
241, BUS, FTX, 130994873, 12, [BUS4092H$ BUS4075S$ BUS1004F$ BUS201211CE$ BUS4018S$ BUS1409CE$ BUS201206CE$ FTX2024M$ FTX4051H$ FTX20131CE$ FTX4035W$ FTX20131CE]
166, IBS, PSY, 352717920, 9, [IBS4010W$ IBS4006W$ IBS2001S$ IBS4011W$ PSY3005F$ PSY1004F$ PSY3011S$ PSY3010S$ PSY3007S]
292, CIV, RAY, 826955158, 15, [CIV4042SEWA$ CIV2043L$ CIV2039S$ CIV3044F$ CIV3049S$ CIV3043F$ CIV2041S$ RAY4010W$ RAY4006W$ RAY4018W$ RAY2004S$ RAY4006W$ RAY4020W$ RAY4015W$ RAY4020W]
308, PHY, PHI, 1165856228, 6, [PHY1004W$ PHY3021F$ PHY1013S$ PHI2043S$ PHI4000W$ PHI4004H]
212, FAM, EBE, 232069232, 8, [FAM3008S$ FAM1001F$ FAM20005CE$ FAM4034S$ FAM2000F$ CPD1099CE$ CPD1090CE$ CPD1149CE]
292, ACC, AXL, 786112699, 12, [ACC1006FEWA$ ACC2012W$ ACC4038H$ ACC3023N$ ACC1006F$ ACC2022S$ AXL3402SEWA$ AXL1401S$ AXL4205S$ AXL4405S$ AXL3402SEWA$ AXL4206S]
307, GSB, FTX, 1180746982, 10, [GSB4454F$ GSB4223S$ GSB4603S$ GSB20141CE$ GSB4607F$ GSB4493F$ FTX3045N$ FTX20134CE$ FTX2024F$ FTX4051H]
155, GSB, BUS, 807496218, 11, [GSB4417S$ GSB4224S$ GSB1602CE$ GSB1404CE$ GSB4493F$ GSB1413CE$ BUS20146CE$ BUS2022S$ BUS1404CE$ BUS20132CE$ BUS4078F]
70, GSB, REL, 2101546792, 16, [GSB4602S$ GSB1402CE$ GSB4503W$ GSB1420CE$ GSB4462S$ GSB4602S$ GSB4471S$ REL4049F$ REL4049F$ REL4046S$ REL2053S$ REL4010F$ REL4049F$ REL3042S$ REL4011H$ REL2053S]
271, HSE, MDN, 1487020112, 13, [HSE1014S$ HSE1001S$ HSE4005CE$ HSE4000F$ HSE2001S$ HSE1005S$ HSE4002S$ HSE1005S$ MDN4040W$ MDN4004W$ MDN2002W$ MDN4004W$ MDN4004W]
285, SLL, HST, 522172075, 12, [SLL3082F$ SLL2064F$ SLL3003W$ SLL1075F$ SLL1063S$ SLL2075F$ SLL4055S$ SLL4106S$ HST2034L$ HST3039H$ HST3042S$ HST2011S]
56, IBS, RAY, 1682795084, 14, [IBS4008W$ IBS4011W$ IBS2001S$ IBS4002W$ IBS4008W$ IBS2001S$ IBS4006W$ IBS4000W$ RAY4016W$ RAY4012W$ RAY4018W$ RAY4018W$ RAY2004S$ RAY4017W]
158, MUZ, DRM, 1462263507, 10, [MUZ2368H$ MUZ3346H$ MUZ4351H$ MUZ3333H$ MUZ1322F$ DRM1027F$ DRM4040W$ DRM4035W$ DRM1030S$ DRM3042W]
208, SLL, ELL, 1937786849, 13, [SLL4091S$ SLL1054F$ SLL2058F$ SLL2062F$ SLL1093H$ ELL2016F$ ELL3005F$ ELL1016S$ ELL1013F$ ELL3009S$ ELL3009S$ ELL3005F$ ELL4061F]
275, ELL, SEA, 1367936846, 14, [ELL4062F$ ELL1009F$ ELL1010S$ ELL2014F$ ELL1013F$ ELL2007F$ ELL2016F$ ELL1016S$ SEA4004W$ SEA1001CE$ SEA1001CE$ SEA2005S$ SEA4004W$ SEA4001W]
50, CIV, SWK, 281657986, 10, [CIV3045S$ CIV4041F$ CIV4044F$ SWK3075S$ SWK4012S$ SWK4002S$ SWK4003F$ SWK4002S$ SWK4001S$ SWK4012S]
106, GSB, BUS, 1174412833, 10, [GSB4498F$ GSB4223S$ GSB1417CE$ GSB4602S$ GSB1427CE$ BUS4017R$ BUS3043S$ BUS4026W$ BUS4091Q$ BUS20146CE]
90, STA, MAM, 1572017931, 13, [STA3036S$ STA1000L$ STA2007H$ STA2004F$ STA1001F$ STA1106H$ STA1100S$ STA2005S$ STA2005S$ MAM1043H$ MAM1016S$ MAM1044H$ MAM1016S]
235, ACC, INF, 409651673, 13, [ACC4039H$ ACC4038H$ ACC2012W$ ACC2012W$ INF3003W$ INF3014F$ INF20136CE$ INF4028R$ INF4028R$ INF3031R$ INF20121CE$ INF20121CE$ INF4029Q]
89, CIV, DOH, 947143563, 10, [CIV3035FEWA$ CIV2039S$ CIV2042FEWA$ CIV3044F$ DOH1020CE$ DOH1002F$ DOH1020CE$ DOH1009F$ DOH1003CE$ DOH1005F]
142, MUZ, MUZ, 680052348, 11, [MUZ1384H$ MUZ3367F$ MUZ2217H$ MUZ3906H$ MUZ2351H$ MUZ1377H$ MUZ3233F$ MUZ1322F$ MUZ1263H$ MUZ3351H$ MUZ3380H]
206, SLL, SLL, 419339928, 12, [SLL1083S$ SLL1002SEWA$ SLL4063F$ SLL2055S$ SLL1002L$ SLL1096H$ SLL3101F$ SLL1028H$ SLL2060F$ SLL1002S$ SLL1054F$ SLL4091S]
238, AST, GEO, 1876955825, 15, [AST4009W$ AST4008W$ AST4009W$ AST4007W$ AST4008W$ AST4008W$ GEO4000W$ GEO2005X$ GEO3005F$ GEO3001S$ GEO2005X$ GEO1009F$ GEO4000W$ GEO4000W$ GEO1009F]
241, ELL, PSY, 1900534369, 11, [ELL1016S$ ELL2017S$ ELL4001H$ ELL1009F$ ELL2014F$ ELL1016S$ ELL4070S$ PSY3005F$ PSY1004F$ PSY2010S$ PSY3009F]
250, BIO, STA, 1331634945, 10, [BIO3013F$ BIO3017S$ BIO3016S$ BIO3017S$ BIO1004S$ BIO4002W$ STA4011W$ STA1106H$ STA1006S$ STA1000L]
200, HST, SOC, 191012810, 16, [HST2039S$ HST2039S$ HST3042S$ HST4058S$ HST4054F$ HST2042F$ HST3005F$ HST2045L$ HST4034F$ SOC4028F$ SOC4010F$ SOC3007F$ SOC3007F$ SOC2032F$ SOC2036F$ SOC3027F]
186, ELL, EDN, 1501130907, 13, [ELL1016S$ ELL4061F$ ELL1016S$ ELL4061F$ ELL1013F$ ELL4068S$ ELL1016S$ EDN3203W$ EDN2509W$ EDN2031CE$ EDN2518W$ EDN2018CE$ EDN3209W]
61, CHE, CHE, 354141177, 13, [CHE3040SEWA$ CHE4055X$ CHE3062SEWA$ CHE3050S$ CHE3000X$ CHE3067S$ CHE4050F$ CHE3040SEWA$ CHE4056Z$ CHE3070S$ CHE2000X$ CHE4042SEWA$ CHE4048F]
74, RAY, FIN, 618411157, 8, [RAY4006W$ RAY4018W$ RAY4012W$ FIN4050W$ FIN2030S$ FIN3030W$ FIN4012W$ FIN2026W]
132, SOC, DRM, 1730162731, 15, [SOC4000H$ SOC2032F$ SOC4010F$ SOC4036U$ SOC4004S$ SOC1006F$ DRM4035W$ DRM2042F$ DRM3042W$ DRM2042F$ DRM4019S$ DRM3042W$ DRM4024S$ DRM2041W$ DRM3045H]
59, EGS, PHY, 2121356351, 7, [EGS4039F$ EGS4048S$ EGS4053W$ EGS4040F$ PHY1012S$ PHY1013FEWA$ PHY2004W]
255, SWK, MAM, 1618996064, 14, [SWK4011F$ SWK4013F$ SWK4012S$ SWK4015F$ SWK4034F$ SWK4014S$ SWK4026S$ MAM1021S$ MAM1019H$ MAM2047H$ MAM2083S$ MAM1013FEWA$ MAM1013F$ MAM1000W]
231, POL, DOM, 236867625, 9, [POL4032F$ POL3037F$ POL4012F$ POL3030F$ DOM1011CE$ DOM1011CE$ DOM1007CE$ DOM1008CE$ DOM1007CE]
299, EDN, PPH, 1132952126, 7, [EDN3203W$ EDN3249W$ EDN4507F$ EDN3211W$ PPH4035S$ PPH4051F$ PPH4020S]
181, APG, FAM, 1684254146, 11, [APG4026S$ APG4029FEWA$ APG4010X$ FAM4009H$ FAM4004S$ FAM1001F$ FAM3014S$ FAM3003S$ FAM3016F$ FAM2013S$ FAM3016F]
64, FAM, LAW, 1375516044, 14, [FAM20007CE$ FAM4034S$ FAM4011S$ FAM4004S$ FAM4032F$ PEP1100CE$ PEP10082CE$ PEP10073CE$ PEP1012CE$ PEP10076CE$ PEP10053CE$ PEP10077CE$ PEP1087CE$ PEP10073CE]
143, STA, SEA, 487582130, 11, [STA1007S$ STA1000L$ STA4016H$ STA3036S$ STA4007W$ STA1008S$ STA4022W$ STA1008S$ SEA2005S$ SEA1001CE$ SEA4004W]
182, DOH, PHI, 113418217, 16, [DOH1000CE$ DOH1000CE$ DOH1009S$ DOH1004CE$ DOH1002F$ DOH1009F$ DOH1004CE$ PHI4024F$ PHI2043FEWA$ PHI1010S$ PHI2012F$ PHI4019W$ PHI1010S$ PHI4015S$ PHI2043S$ PHI1025F]
305, AGE, PHY, 587640014, 14, [AGE2011S$ AGE1004S$ AGE1004S$ AGE2012F$ AGE1004S$ AGE3013H$ PHY1013F$ PHY2010S$ PHY4007W$ PHY1031F$ PHY1014S$ PHY1013FEWA$ PHY1012F$ PHY1004W]
301, ACC, FTX, 1808789082, 16, [ACC2023F$ ACC4000H$ ACC4020W$ ACC4000N$ ACC2011N$ ACC3502H$ ACC4023W$ FTX3045N$ FTX4057F$ FTX4036F$ FTX4056S$ FTX3045N$ FTX2002CE$ FTX4051H$ FTX4036S$ FTX2020F]
253, GSB, EBE, 1886058224, 8, [GSB4501F$ GSB4602F$ GSB4458S$ GSB4493F$ GSB4493F$ CPD10009CE$ CPD10038CE$ CPD1146CE]
251, APG, POL, 943305779, 10, [APG3015X$ APG4042F$ APG2039W$ POL2002S$ POL2002SEWA$ POL1005S$ POL2002S$ POL3043F$ POL1005P$ POL1005P]
112, PHI, SWK, 1478972475, 17, [PHI1010S$ PHI2043FEWA$ PHI4023F$ PHI1010S$ PHI4019W$ PHI4022S$ PHI4024F$ PHI2045S$ PHI4022S$ SWK2065S$ SWK4033F$ SWK1004S$ SWK4013F$ SWK4034F$ SWK4004S$ SWK2060F$ SWK4002S]
114, ECO, GSB, 472740270, 12, [ECO3022S$ ECO20143CE$ ECO4124Z$ ECO3023S$ ECO4101F$ GSB1402CE$ GSB4527S$ GSB4602S$ GSB4501FEWA$ GSB4496S$ GSB4222F$ GSB4504F]
141, ACC, ACC, 58760595, 17, [ACC3004N$ ACC2011N$ ACC4039H$ ACC3022N$ ACC2023N$ ACC2022F$ ACC4023W$ ACC2022F$ ACC3501W$ ACC4038H$ ACC11202CE$ ACC2018S$ ACC4036W$ ACC2111N$ ACC4036W$ ACC4039H$ ACC1006FEWA]
66, BUS, ECO, 1636092084, 6, [BUS4026W$ BUS1409CE$ BUS4050W$ ECO4113S$ ECO4027S$ ECO4121S]
84, CEM, EBE, 1115540541, 8, [CEM1000W$ CEM3005WEWA$ CEM3005WEWA$ CEM1009H$ CEM1008F$ CPD1157CE$ CPD1034CE$ CPD1158CE]
60, EEE, REL, 1050214829, 9, [EEE2026S$ EEE3064W$ EEE3086F$ EEE2042S$ EEE4090FEWA$ EEE3017W$ REL4049F$ REL4048S$ REL3042S]
255, ELL, DOH, 1953102696, 13, [ELL4061F$ ELL4070S$ ELL1009F$ ELL2014F$ DOH2001S$ DOH2001S$ DOH1002F$ DOH2001S$ DOH1001CE$ DOH1009S$ DOH1005F$ DOH1005F$ DOH1002CE]
248, SOC, HST, 347493496, 16, [SOC4025S$ SOC2032F$ SOC1007S$ SOC3027F$ SOC4025S$ SOC4028F$ SOC1001F$ SOC1001F$ HST2041F$ HST4058S$ HST2011S$ HST2034P$ HST2037S$ HST1005F$ HST1015F$ HST3038F]
163, APG, SEA, 1350314490, 11, [APG3011SEWA$ APG4049F$ APG3035F$ APG4007F$ APG2011S$ APG4011F$ SEA2005S$ SEA1001CE$ SEA2004F$ SEA2005S$ SEA2004F]
76, MEC, DOH, 2127174274, 14, [MEC4053Z$ MEC1008SEWA$ MEC1003F$ MEC4105F$ MEC3033F$ DOH1002F$ DOH2001S$ DOH1010S$ DOH1002F$ DOH1009F$ DOH1000CE$ DOH1000CE$ DOH1003CE$ DOH1002CE]
129, PHY, CEM, 2008085790, 17, [PHY1012F$ PHY3004W$ PHY3021F$ PHY2010S$ PHY4007W$ PHY1032S$ PHY4007W$ PHY3022S$ CEM1009H$ CEM1011X$ CEM1111S$ CEM1001CE$ CEM3005W$ CEM4001W$ CEM4002W$ CEM4002W$ CEM2005W]
76, MUZ, FAM, 1322335851, 13, [MUZ1278H$ MUZ3215S$ MUZ1343H$ MUZ4815H$ MUZ2366H$ MUZ4254W$ MUZ1283H$ MUZ2281F$ MUZ2375H$ FAM3005F$ FAM1000L$ FAM3014S$ FAM4034S]
313, CON, GEO, 1423379367, 11, [CON4042H$ CON4037S$ CON2030F$ GEO4000W$ GEO3001S$ GEO4000W$ GEO2005X$ GEO3005F$ GEO2005X$ GEO4003W$ GEO4000W]
